clip,offset_s,survival,mean_survival_s,n,window_s
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.0,0.25,2.86,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,1.0,0.0,1.925,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.0,0.0,0.858,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,3.0,0.0,0.702,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,4.0,0.0,0.995,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,6.0,0.0,0.835,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,8.0,1.0,1.96,8,1.96
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,mean,0.1786,,56,3.0
CMU_76_76_02_poses_120_jpos,0.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,1.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,2.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,3.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,4.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,6.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,8.0,1.0,1.7,8,1.7
CMU_76_76_02_poses_120_jpos,mean,1.0,,56,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,6.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,8.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,mean,1.0,,56,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,0.0,0.0,2.273,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,1.0,0.0,1.142,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,2.0,0.0,0.347,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,3.0,0.0,0.407,8,2.26
KIT_3_kneel_down_to_crawl02_poses_100_jpos,4.0,0.5,0.977,8,1.26
KIT_3_kneel_down_to_crawl02_poses_100_jpos,6.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl02_poses_100_jpos,8.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl02_poses_100_jpos,mean,0.3571,,56,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,0.0,0.875,2.983,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,1.0,0.0,2.41,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,2.0,0.0,1.325,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,3.0,0.0,0.808,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,4.0,0.0,0.805,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,6.0,0.0,0.98,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,8.0,1.0,1.0,8,1.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,mean,0.2679,,56,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,3.0,0.875,2.91,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,4.0,0.25,2.557,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,6.0,0.0,0.655,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,8.0,0.0,0.647,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,mean,0.5893,,56,3.0
